"sy","sys_id_ga","sch_id_ga","pct_chr_abs"
2024,601,1050,20
2024,601,177,21
2024,602,190,17
2024,761,604,41
2024,761,303,9
2024,761,305,10
2024,761,3057,34
2024,761,304,34
2024,761,1066,14
2024,761,5567,29
2024,761,1560,20
2024,761,1421,37
2024,761,103,35
2024,761,2563,10
2024,761,4063,38
2024,761,2564,3
2024,761,513,44
2024,761,1664,4
2024,761,2053,7
2024,761,101,18
2024,761,3559,39
2024,761,1567,17
2024,761,116,7
2024,761,296,40
2024,761,2062,34
2024,761,4066,50
2024,761,1416,32
2024,761,1424,12
2024,761,1053,53
2024,603,3050,18
2024,603,102,25
2024,605,300,15
2024,605,302,19
2024,605,303,17
2024,605,301,20
2024,606,107,21
2024,606,205,30
2024,607,1050,21
2024,607,301,15
2024,607,205,13
2024,607,193,15
2024,607,105,20
2024,607,4050,20
2024,607,189,18
2024,607,5050,18
2024,607,299,22
2024,607,298,15
2024,608,177,32
2024,608,196,19
2024,608,104,26
2024,608,115,19
2024,608,2052,28
2024,608,107,21
2024,608,377,16
2024,608,296,27
2024,608,186,16
2024,608,106,12
2024,608,396,20
2024,608,175,18
2024,609,196,25
2024,609,111,18
2024,610,195,26
2024,610,5050,24
2024,611,1054,33
2024,611,109,33
2024,611,104,21
2024,611,1205,24
2024,611,2060,34
2024,611,3060,14
2024,611,605,18
2024,611,3067,47
2024,611,1310,34
2024,611,1305,24
2024,611,1306,36
2024,611,1067,14
2024,611,405,33
2024,611,103,18
2024,611,1307,42
2024,611,1105,13
2024,611,705,37
2024,611,1309,24
2024,611,203,8
2024,611,383,36
2024,612,197,8
2024,612,1050,9
2024,613,3050,23
2024,613,101,28
2024,763,110,10
2024,763,2050,9
2024,614,393,28
2024,614,193,20
2024,615,286,17
2024,615,101,9
2024,615,504,7
2024,615,503,4
2024,615,302,8
2024,615,202,11
2024,764,100,5
2024,764,196,8
2024,764,292,5
2024,616,200,13
2024,616,2050,15
2024,616,199,26
2024,616,5050,18
2024,616,100,22
2024,616,107,17
2024,616,399,22
2024,616,5054,23
2024,616,3054,20
2024,617,104,17
2024,617,2056,21
2024,618,104,17
2024,618,111,17
2024,618,108,12
2024,765,406,21
2024,765,305,11
2024,620,187,19
2024,620,195,17
2024,620,193,16
2024,620,100,25
2024,620,495,21
2024,620,189,12
2024,620,110,18
2024,620,197,19
2024,620,192,17
2024,621,302,14
2024,622,2050,14
2024,622,5050,12
2024,622,605,19
2024,622,405,10
2024,622,176,24
2024,622,115,19
2024,622,377,14
2024,622,5052,20
2024,622,100,23
2024,622,1054,14
2024,622,705,21
2024,622,477,16
2024,766,193,22
2024,766,106,15
2024,767,191,11
2024,767,177,16
2024,623,103,14
2024,623,102,18
2024,623,1050,14
2024,623,5050,16
2024,623,3052,12
2024,623,100,15
2024,623,185,19
2024,623,1054,27
2024,623,105,15
2024,624,199,11
2024,627,106,37
2024,628,397,9
2024,628,108,9
2024,628,213,10
2024,628,196,5
2024,628,189,9
2024,628,101,11
2024,628,313,13
2024,628,1052,8
2024,628,3052,8
2024,628,199,11
2024,628,116,10
2024,628,509,11
2024,628,182,13
2024,628,203,13
2024,628,309,10
2024,628,5052,7
2024,628,190,8
2024,628,2054,16
2024,628,198,9
2024,628,193,8
2024,628,105,12
2024,628,104,15
2024,769,1050,5
2024,773,505,8
2024,773,112,5
2024,773,212,9
2024,773,105,3
2024,773,506,5
2024,773,405,1
2024,629,2056,23
2024,629,3056,17
2024,629,3058,18
2024,629,205,37
2024,629,291,34
2024,629,5056,23
2024,629,112,17
2024,629,4060,23
2024,629,178,18
2024,629,391,31
2024,629,1062,17
2024,629,2062,21
2024,631,1050,24
2024,631,1550,10
2024,631,175,25
2024,631,103,32
2024,631,4050,31
2024,631,1052,13
2024,631,5052,28
2024,631,2554,12
2024,631,203,24
2024,631,199,24
2024,631,3054,20
2024,631,5054,31
2024,631,304,24
2024,631,380,4
2024,631,305,19
2024,631,205,25
2024,631,173,21
2024,631,4056,18
2024,631,295,18
2024,631,1058,38
2024,631,204,33
2024,631,379,15
2024,631,2058,14
2024,631,176,25
2024,631,109,32
2024,631,1060,27
2024,631,276,19
2024,631,181,27
2024,631,195,16
2024,631,2060,32
2024,631,200,18
2024,631,4060,25
2024,631,5060,26
2024,631,1062,36
2024,631,105,25
2024,631,307,13
2024,631,2062,35
2024,631,5056,24
2024,632,101,13
2024,633,302,17
2024,633,289,13
2024,633,2050,24
2024,633,207,23
2024,633,189,13
2024,633,5050,19
2024,633,504,13
2024,633,173,24
