"sy","sys_id_ga","sch_id_ga","level","sys_nm","sch_nm","enr_k12"
2024,601,1050,"ES","Appling County","Altamaha Elementary School",342
2024,601,177,"ES","Appling County","Appling County Elementary School",993
2024,602,190,"ES","Atkinson County","Pearson Elementary School",557
2024,761,604,"ES","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elementary School",382
2024,761,303,"ES","Atlanta Public Schools","Bolton Academy Elementary ",491
2024,761,305,"ES","Atlanta Public Schools","Burgess-Peterson Elementary School",555
2024,761,3057,"ES","Atlanta Public Schools","Continental Colony Elementary School",314
2024,761,304,"ES","Atlanta Public Schools","Deerwood Academy ",430
2024,761,1066,"ES","Atlanta Public Schools","E. Rivers Elementary School",657
2024,761,5567,"ES","Atlanta Public Schools","Fred A. Toomer Elementary School",430
2024,761,1560,"ES","Atlanta Public Schools","Garden Hills Elementary School",427
2024,761,1421,"ES","Atlanta Public Schools","Harper-Archer Elementary School",477
2024,761,103,"ES","Atlanta Public Schools","Heritage Academy Elementary School",391
2024,761,2563,"ES","Atlanta Public Schools","Jackson Elementary School",445
2024,761,4063,"ES","Atlanta Public Schools","M. A. Jones Elementary School",444
2024,761,2564,"ES","Atlanta Public Schools","Mary Lin Elementary School",509
2024,761,513,"ES","Atlanta Public Schools","Miles Elementary School",438
2024,761,1664,"ES","Atlanta Public Schools","Morningside Elementary School",750
2024,761,2053,"ES","Atlanta Public Schools","Morris Brandon Elementary School",872
2024,761,101,"ES","Atlanta Public Schools","Parkside Elementary School",551
2024,761,3559,"ES","Atlanta Public Schools","R. N. Fickett Elementary School",447
2024,761,1567,"ES","Atlanta Public Schools","Sara Rawson Smith Elementary School",826
2024,761,116,"ES","Atlanta Public Schools","Springdale Park Elementary School",427
2024,761,296,"ES","Atlanta Public Schools","T. J. Perkerson Elementary School",325
2024,761,2062,"ES","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools",363
2024,761,4066,"ES","Atlanta Public Schools","Thomas Heathe Slater Elementary School",488
2024,761,1416,"ES","Atlanta Public Schools","Tuskegee Airman Global Academy",446
2024,761,1424,"ES","Atlanta Public Schools","Virginia-Highland Elementary School",533
2024,761,1053,"ES","Atlanta Public Schools","William M.Boyd Elementary School",400
2024,603,3050,"ES","Bacon County","Bacon County Elementary School",429
2024,603,102,"ES","Bacon County","Bacon County Primary School",483
2024,605,300,"ES","Baldwin County","Lakeview Academy",635
2024,605,302,"ES","Baldwin County","Lakeview Primary",534
