"sy","sys_id_ga","sys_nm","metro_resa","enr_k12"
2015,601,"Appling County",FALSE,3456
2016,601,"Appling County",FALSE,3382
2017,601,"Appling County",FALSE,3379
2018,601,"Appling County",FALSE,3410
2019,601,"Appling County",FALSE,3362
2020,601,"Appling County",FALSE,3343
2021,601,"Appling County",FALSE,3268
2022,601,"Appling County",FALSE,3269
2023,601,"Appling County",FALSE,3249
2024,601,"Appling County",FALSE,3237
2015,602,"Atkinson County",FALSE,1589
2016,602,"Atkinson County",FALSE,1619
2017,602,"Atkinson County",FALSE,1637
2018,602,"Atkinson County",FALSE,1602
2019,602,"Atkinson County",FALSE,1583
2020,602,"Atkinson County",FALSE,1592
2021,602,"Atkinson County",FALSE,1557
2022,602,"Atkinson County",FALSE,1521
2023,602,"Atkinson County",FALSE,1543
2024,602,"Atkinson County",FALSE,1491
2015,761,"Atlanta Public Schools",TRUE,50032
2016,761,"Atlanta Public Schools",TRUE,50399
2017,761,"Atlanta Public Schools",TRUE,50669
2018,761,"Atlanta Public Schools",TRUE,50847
2019,761,"Atlanta Public Schools",TRUE,51001
2020,761,"Atlanta Public Schools",TRUE,50999
2021,761,"Atlanta Public Schools",TRUE,49858
2022,761,"Atlanta Public Schools",TRUE,48753
2023,761,"Atlanta Public Schools",TRUE,49011
2024,761,"Atlanta Public Schools",TRUE,48325
2015,603,"Bacon County",FALSE,2026
2016,603,"Bacon County",FALSE,2046
2017,603,"Bacon County",FALSE,2016
2018,603,"Bacon County",FALSE,2040
2019,603,"Bacon County",FALSE,2048
2020,603,"Bacon County",FALSE,2013
2021,603,"Bacon County",FALSE,1980
2022,603,"Bacon County",FALSE,2020
2023,603,"Bacon County",FALSE,2035
2024,603,"Bacon County",FALSE,2009
2015,604,"Baker County",FALSE,314
2016,604,"Baker County",FALSE,308
2017,604,"Baker County",FALSE,281
2018,604,"Baker County",FALSE,267
2019,604,"Baker County",FALSE,271
2020,604,"Baker County",FALSE,246
2021,604,"Baker County",FALSE,276
2022,604,"Baker County",FALSE,284
2023,604,"Baker County",FALSE,287
2024,604,"Baker County",FALSE,283
2015,605,"Baldwin County",FALSE,5481
2016,605,"Baldwin County",FALSE,5340
2017,605,"Baldwin County",FALSE,5223
2018,605,"Baldwin County",FALSE,4934
2019,605,"Baldwin County",FALSE,4855
2020,605,"Baldwin County",FALSE,4746
2021,605,"Baldwin County",FALSE,4719
2022,605,"Baldwin County",FALSE,4604
2023,605,"Baldwin County",FALSE,4416
2024,605,"Baldwin County",FALSE,4312
2015,606,"Banks County",FALSE,2816
2016,606,"Banks County",FALSE,2802
2017,606,"Banks County",FALSE,2765
2018,606,"Banks County",FALSE,2776
2019,606,"Banks County",FALSE,2738
2020,606,"Banks County",FALSE,2733
2021,606,"Banks County",FALSE,2727
2022,606,"Banks County",FALSE,2793
2023,606,"Banks County",FALSE,2827
2024,606,"Banks County",FALSE,2860
2015,607,"Barrow County",FALSE,12995
2016,607,"Barrow County",FALSE,13000
2017,607,"Barrow County",FALSE,13120
2018,607,"Barrow County",FALSE,13351
2019,607,"Barrow County",FALSE,13568
2020,607,"Barrow County",FALSE,13777
2021,607,"Barrow County",FALSE,13588
2022,607,"Barrow County",FALSE,13865
2023,607,"Barrow County",FALSE,14367
2024,607,"Barrow County",FALSE,14729
2015,608,"Bartow County",FALSE,13582
2016,608,"Bartow County",FALSE,13332
2017,608,"Bartow County",FALSE,13328
2018,608,"Bartow County",FALSE,13087
2019,608,"Bartow County",FALSE,12973
2020,608,"Bartow County",FALSE,12919
2021,608,"Bartow County",FALSE,12849
2022,608,"Bartow County",FALSE,13079
2023,608,"Bartow County",FALSE,13254
2024,608,"Bartow County",FALSE,13594
2015,609,"Ben Hill County",FALSE,3097
2016,609,"Ben Hill County",FALSE,3085
2017,609,"Ben Hill County",FALSE,3063
2018,609,"Ben Hill County",FALSE,3006
2019,609,"Ben Hill County",FALSE,2946
2020,609,"Ben Hill County",FALSE,2879
2021,609,"Ben Hill County",FALSE,2833
2022,609,"Ben Hill County",FALSE,2852
2023,609,"Ben Hill County",FALSE,2803
2024,609,"Ben Hill County",FALSE,2756
2015,610,"Berrien County",FALSE,3054
2016,610,"Berrien County",FALSE,2987
2017,610,"Berrien County",FALSE,3022
2018,610,"Berrien County",FALSE,3020
2019,610,"Berrien County",FALSE,3010
2020,610,"Berrien County",FALSE,3015
2021,610,"Berrien County",FALSE,2886
2022,610,"Berrien County",FALSE,2880
2023,610,"Berrien County",FALSE,2935
2024,610,"Berrien County",FALSE,2967
